ID	P.Value	logFC	Gene.symbol	Gene.title
1430153_at	4.28e-01	2.66e-01	Tmod2	tropomodulin 2
1420927_at	4.28e-01	-3.29e-01	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1
1431206_at	4.28e-01	-1.18e-01	Zfp266	zinc finger protein 266
1449562_at	4.28e-01	2.51e-01	1700001G17Rik	RIKEN cDNA 1700001G17 gene
1437903_at	4.28e-01	7.87e-01	Lox	lysyl oxidase
1417670_at	4.28e-01	9.90e-02	Timm44	translocase of inner mitochondrial membrane 44
1453015_at	4.28e-01	5.04e-02	Cmip	c-Maf inducing protein
1456495_s_at	4.29e-01	-1.97e-01	Osbpl6	oxysterol binding protein-like 6
1454279_at	4.29e-01	7.81e-01	Oaz3	ornithine decarboxylase antizyme 3
1445179_at	4.29e-01	-7.84e-01	D10Ertd494e	DNA segment, Chr 10, ERATO Doi 494, expressed
1427762_x_at	4.29e-01	1.01e-01	Hist1h2bp	histone cluster 1, H2bp
1451481_s_at	4.29e-01	-2.30e-01	Slc51a	solute carrier family 51, alpha subunit
1428574_a_at	4.29e-01	-7.01e-02	Chn2	chimerin 2
1453361_at	4.29e-01	2.81e-01	Hells	helicase, lymphoid specific
1418231_at	4.29e-01	1.43e-01	Lims1	LIM and senescent cell antigen-like domains 1
1416046_a_at	4.29e-01	-6.60e-02	Fuca2	fucosidase, alpha-L- 2, plasma
1418490_at	4.29e-01	-1.08e-01	Sdsl	serine dehydratase-like
1434109_at	4.29e-01	1.76e-01	Sh3bgrl2	SH3 domain binding glutamic acid-rich protein like 2
1440557_at	4.29e-01	-9.57e-01		
1431600_at	4.29e-01	-4.46e-01	4930564C03Rik	RIKEN cDNA 4930564C03 gene
1459842_x_at	4.29e-01	-1.07e-01	Nubp2	nucleotide binding protein 2
1445882_at	4.29e-01	6.57e-02	Cd300lb	CD300 molecule like family member B
1433686_at	4.29e-01	1.01e-01	Cabin1	calcineurin binding protein 1
1429577_at	4.29e-01	-7.15e-01	Iqcf4	IQ motif containing F4
1452501_at	4.29e-01	-8.19e-01	Cyp2c38	cytochrome P450, family 2, subfamily c, polypeptide 38
1426338_a_at	4.29e-01	6.25e-01	Ntng1	netrin G1
1420670_at	4.29e-01	4.83e-01	Arnt2	aryl hydrocarbon receptor nuclear translocator 2
1436581_at	4.29e-01	7.55e-02	Ttc14	tetratricopeptide repeat domain 14
1450829_at	4.29e-01	3.21e-01	Tnfaip3	tumor necrosis factor, alpha-induced protein 3
1442818_at	4.30e-01	-6.61e-01	Gm17494///LOC100047044	predicted gene, 17494///uncharacterized LOC100047044
1424645_at	4.30e-01	6.47e-02	Tnrc6c	trinucleotide repeat containing 6C
1422733_at	4.30e-01	5.81e-01	Fjx1	four jointed box 1 (Drosophila)
1444639_at	4.30e-01	3.13e-01		
1436888_at	4.30e-01	-3.22e-01	Nhlh2	nescient helix loop helix 2
1442385_at	4.30e-01	-5.05e-01		
1418690_at	4.30e-01	-3.12e-01	Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1
1433162_at	4.30e-01	-3.05e-01	6230414M07Rik	RIKEN cDNA 6230414M07 gene
1444966_at	4.30e-01	2.29e-01		
1452646_at	4.30e-01	1.01e-01	Trp53inp2	transformation related protein 53 inducible nuclear protein 2
1435803_a_at	4.30e-01	-6.89e-02	Eif4e2	eukaryotic translation initiation factor 4E member 2
1446885_at	4.30e-01	-4.76e-01		
1434034_at	4.30e-01	-5.92e-02	Cerk	ceramide kinase
1451670_at	4.30e-01	-2.04e-01	Rab43	RAB43, member RAS oncogene family
1460081_at	4.30e-01	-1.79e-01	Syt7	synaptotagmin VII
1427722_at	4.30e-01	3.93e-01	Slc15a5	solute carrier family 15, member 5
1459890_s_at	4.30e-01	-6.27e-02	1110008P14Rik	RIKEN cDNA 1110008P14 gene
1452106_at	4.30e-01	8.55e-01	Npnt	nephronectin
1442233_at	4.30e-01	1.05e-01		
1450264_a_at	4.30e-01	9.69e-02	Chka	choline kinase alpha
1423339_s_at	4.30e-01	-6.82e-02	Zfp830	zinc finger protein 830
1430893_at	4.30e-01	-7.11e-01	Mup10	major urinary protein 10
1424993_at	4.30e-01	-9.53e-02	Msantd4	Myb/SANT-like DNA-binding domain containing 4 with coiled-coils
1445634_at	4.30e-01	5.85e-01		
1452546_x_at	4.30e-01	5.00e-01	Defb11	defensin beta 11
1445341_at	4.30e-01	-2.03e-01	Gm31913	predicted gene, 31913
1430198_at	4.30e-01	-7.11e-01	3110009F21Rik	RIKEN cDNA 3110009F21 gene
1445113_at	4.30e-01	-3.40e-01		
1426060_at	4.30e-01	1.27e-01		
1446934_at	4.30e-01	1.58e-01		
1450745_at	4.30e-01	-9.64e-02	C1galt1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1
1417538_at	4.30e-01	5.76e-02	Slc35a1	solute carrier family 35 (CMP-sialic acid transporter), member 1
1437164_x_at	4.30e-01	-4.93e-02	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
1448798_at	4.30e-01	5.59e-01	Eps8l3	EPS8-like 3
1436352_at	4.30e-01	1.03e-01	Cep78	centrosomal protein 78
1459543_at	4.30e-01	2.18e-01	AA407787	expressed sequence AA407787
1452267_at	4.30e-01	2.63e-01	Flywch1	FLYWCH-type zinc finger 1
1427461_at	4.30e-01	-2.22e-01	BC005561	cDNA sequence BC005561
1454775_at	4.30e-01	-1.47e-01	Hdac10	histone deacetylase 10
1440864_at	4.31e-01	7.08e-01	AI836737	expressed sequence AI836737
1455098_a_at	4.31e-01	6.18e-01	Vtn	vitronectin
1435508_x_at	4.31e-01	5.81e-01	Sf3b6	splicing factor 3B, subunit 6
1441560_at	4.31e-01	-6.44e-01	Ctnna3	catenin (cadherin associated protein), alpha 3
1457105_at	4.31e-01	5.99e-01	Pkd2l1	polycystic kidney disease 2-like 1
1458271_at	4.31e-01	-7.07e-01	Cntn5	contactin 5
1438316_a_at	4.31e-01	-5.15e-01	Ccdc102a	coiled-coil domain containing 102A
1429547_at	4.31e-01	-7.05e-01	4930578I06Rik	RIKEN cDNA 4930578I06 gene
1453363_at	4.31e-01	-4.05e-01	Cacng2	calcium channel, voltage-dependent, gamma subunit 2
1455790_at	4.31e-01	4.21e-01	E2f2	E2F transcription factor 2
1416550_at	4.31e-01	-7.74e-02	Slc35b4	solute carrier family 35, member B4
1455169_at	4.31e-01	7.92e-02	Rab11fip2	RAB11 family interacting protein 2 (class I)
1447641_at	4.31e-01	8.63e-01	Dmwd	dystrophia myotonica-containing WD repeat motif
1448927_at	4.31e-01	-1.96e-01	Kcnn2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2
1457541_at	4.31e-01	2.25e-01	Akap14	A kinase (PRKA) anchor protein 14
1445473_at	4.31e-01	-3.97e-01	Diras2	DIRAS family, GTP-binding RAS-like 2
1459065_at	4.31e-01	7.60e-01		
1458137_at	4.31e-01	-5.76e-01		
1439071_at	4.31e-01	1.23e-01	5430416N02Rik	RIKEN cDNA 5430416N02 gene
1451150_at	4.31e-01	-5.77e-02	Zfp410	zinc finger protein 410
1443305_at	4.31e-01	-2.33e-01	Gm3134	predicted gene 3134
1453109_at	4.31e-01	-5.08e-02	Arsk	arylsulfatase K
1444217_at	4.31e-01	4.22e-01	Mrpl38	mitochondrial ribosomal protein L38
1460687_at	4.31e-01	5.64e-02	Kmt5a	lysine methyltransferase 5A
1452464_a_at	4.31e-01	7.35e-02	Metap1d	methionyl aminopeptidase type 1D (mitochondrial)
1420294_at	4.31e-01	-1.43e-01	Lpcat1	lysophosphatidylcholine acyltransferase 1
1419300_at	4.32e-01	-5.63e-01	Flt1	FMS-like tyrosine kinase 1
1418800_at	4.32e-01	-8.08e-01	Bhlha15	basic helix-loop-helix family, member a15
1459112_at	4.32e-01	5.94e-01	Gm12440	predicted gene 12440
1418378_at	4.32e-01	5.07e-01	Bpifb2	BPI fold containing family B, member 2
1428705_at	4.32e-01	5.89e-01	1700007K13Rik	RIKEN cDNA 1700007K13 gene
1448494_at	4.32e-01	-5.54e-01	Gas1	growth arrest specific 1
1455383_at	4.32e-01	-3.11e-01	Fam47e	family with sequence similarity 47, member E
1439947_at	4.32e-01	8.14e-02	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1
1420436_x_at	4.32e-01	1.45e-01	Tex21	testis expressed gene 21
1419143_at	4.32e-01	6.13e-01	Cypt7///Cypt8///Cypt1	cysteine-rich perinuclear theca 7///cysteine-rich perinuclear theca 8///cysteine-rich perinuclear theca 1
1428888_at	4.32e-01	1.92e-01	Tmem33	transmembrane protein 33
1459274_at	4.32e-01	-6.82e-01	Gpr135	G protein-coupled receptor 135
1432894_at	4.32e-01	3.17e-01	9130011L11Rik	RIKEN cDNA 9130011L11 gene
1442135_at	4.32e-01	-5.34e-02	Ado	2-aminoethanethiol (cysteamine) dioxygenase
1420390_s_at	4.32e-01	-7.19e-01	Zfp354a	zinc finger protein 354A
1439252_at	4.32e-01	1.96e-01	Incenp	inner centromere protein
1458517_at	4.32e-01	4.96e-01		
1433799_at	4.32e-01	-7.18e-02	Rdh13	retinol dehydrogenase 13 (all-trans and 9-cis)
1459174_at	4.32e-01	-5.02e-01		
1444951_at	4.32e-01	1.29e-01	Dennd1b	DENN/MADD domain containing 1B
1441429_at	4.32e-01	6.46e-01	Irs4	insulin receptor substrate 4
1428835_at	4.32e-01	-4.88e-01	Myh14	myosin, heavy polypeptide 14
1457031_at	4.32e-01	-4.10e-01	Fsd2	fibronectin type III and SPRY domain containing 2
1445933_at	4.32e-01	6.18e-02	Ube2e1	ubiquitin-conjugating enzyme E2E 1
1453876_at	4.32e-01	2.94e-01	1700120B22Rik	RIKEN cDNA 1700120B22 gene
1440124_at	4.32e-01	-2.21e-01	B230334C09Rik	RIKEN cDNA B230334C09 gene
1460364_at	4.32e-01	1.37e-01	Gtf2ird1	general transcription factor II I repeat domain-containing 1
1421826_at	4.32e-01	-6.32e-01	Dll4	delta-like 4 (Drosophila)
1441486_at	4.32e-01	-9.15e-02	Fkbp15	FK506 binding protein 15
1417330_at	4.32e-01	-1.96e-01	Slc23a2	solute carrier family 23 (nucleobase transporters), member 2
1455883_a_at	4.32e-01	-7.10e-01	Lrrtm1	leucine rich repeat transmembrane neuronal 1
1440388_at	4.32e-01	1.09e-01		
1453471_at	4.32e-01	-2.56e-01	Iah1	isoamyl acetate-hydrolyzing esterase 1 homolog
1439762_x_at	4.32e-01	7.35e-01	Adra2c	adrenergic receptor, alpha 2c
1425918_at	4.32e-01	4.47e-01		
1424677_at	4.32e-01	4.97e-01	Cyp2j9	cytochrome P450, family 2, subfamily j, polypeptide 9
1429528_at	4.33e-01	4.98e-02	Rae1	ribonucleic acid export 1
1440034_at	4.33e-01	1.29e-01	Stam2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
1442192_at	4.33e-01	2.09e-01	Tyms	thymidylate synthase
1440148_at	4.33e-01	-7.59e-01	Gpr6	G protein-coupled receptor 6
1442733_at	4.33e-01	-1.21e-01	Cep162	centrosomal protein 162
1440539_at	4.33e-01	-2.62e-01	Slc10a7	solute carrier family 10 (sodium/bile acid cotransporter family), member 7
1416567_s_at	4.33e-01	-7.16e-02	Atp5e	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
1432718_at	4.33e-01	5.35e-01	1810015A16Rik	RIKEN cDNA 1810015A16 gene
1437534_at	4.33e-01	-5.11e-01		
1423473_at	4.33e-01	-1.80e-01	Sept2	septin 2
1456626_a_at	4.33e-01	5.14e-02	Sarnp	SAP domain containing ribonucleoprotein
1427173_a_at	4.33e-01	-6.51e-02	Mrps33	mitochondrial ribosomal protein S33
1420278_at	4.33e-01	2.28e-01	Prss58	protease, serine 58
1452624_at	4.33e-01	4.56e-01	Lrrtm1	leucine rich repeat transmembrane neuronal 1
1419150_at	4.33e-01	6.13e-01	Myf6	myogenic factor 6
1455957_x_at	4.33e-01	-8.78e-01	Ceacam11	carcinoembryonic antigen-related cell adhesion molecule 11
1416035_at	4.33e-01	7.95e-02	Hif1a	hypoxia inducible factor 1, alpha subunit
1438613_at	4.33e-01	-4.72e-01	Kcna4	potassium voltage-gated channel, shaker-related subfamily, member 4
1434698_at	4.33e-01	-1.18e-01	Mia3	melanoma inhibitory activity 3
1430779_at	4.33e-01	2.25e-01	Ntng1	netrin G1
1456305_x_at	4.33e-01	-8.08e-01	Obox2	oocyte specific homeobox 2
1425352_at	4.33e-01	-1.58e-01	Rcor3	REST corepressor 3
1438137_at	4.33e-01	-1.09e-01		
1442912_at	4.33e-01	2.97e-01	9430064I24Rik	RIKEN cDNA 9430064I24 gene
1417686_at	4.33e-01	-5.95e-01	Lgals12	lectin, galactose binding, soluble 12
1452051_at	4.33e-01	5.22e-02	Actr3	ARP3 actin-related protein 3
1445992_at	4.33e-01	5.78e-01		
1453826_at	4.34e-01	-3.69e-01	Pard3b	par-3 family cell polarity regulator beta
1420257_at	4.34e-01	-6.46e-01	1700073E17Rik	ribosomal protein L7 pseudogene
1421384_at	4.34e-01	-1.09e-01	Lyst	lysosomal trafficking regulator
1428475_at	4.34e-01	-5.98e-02	Llph-ps2///Llph-ps1///Llph	LLP homolog, pseudogene 2///LLP homolog, pseudogene 1///LLP homolog, long-term synaptic facilitation (Aplysia)
1439093_at	4.34e-01	7.02e-02	Hspa4l	heat shock protein 4 like
1425718_a_at	4.34e-01	4.46e-02	Ivns1abp	influenza virus NS1A binding protein
1427727_x_at	4.34e-01	1.04	Psg19	pregnancy specific glycoprotein 19
1447746_at	4.34e-01	8.06e-01		
1431039_at	4.34e-01	2.37e-01	Otud4	OTU domain containing 4
1448436_a_at	4.34e-01	-7.15e-02	Irf1	interferon regulatory factor 1
1420885_a_at	4.34e-01	-4.03e-01	Sez6	seizure related gene 6
1420831_at	4.34e-01	1.01e-01	Qsox1	quiescin Q6 sulfhydryl oxidase 1
1434839_s_at	4.34e-01	4.41e-02	Tbl1xr1	transducin (beta)-like 1X-linked receptor 1
1440285_at	4.34e-01	-2.81e-01	Ppp1r9a	protein phosphatase 1, regulatory (inhibitor) subunit 9A
1418761_at	4.34e-01	6.11e-01	Igf2bp1	insulin-like growth factor 2 mRNA binding protein 1
1453061_at	4.34e-01	-5.96e-02	Elac1	elaC ribonuclease Z 1
1445979_at	4.34e-01	-7.27e-01		
1425892_a_at	4.34e-01	2.25e-01	Pnoc	prepronociceptin
1451449_at	4.34e-01	-6.06e-02	Erlec1	endoplasmic reticulum lectin 1
1416577_a_at	4.34e-01	5.56e-02	Gm9840///Rbx1	predicted gene 9840///ring-box 1
1418858_at	4.34e-01	-2.69e-01	Aox3	aldehyde oxidase 3
1426564_at	4.34e-01	-8.82e-02	Zfp553	zinc finger protein 553
1446017_at	4.34e-01	-6.12e-01		
1449964_a_at	4.34e-01	-1.13e-01	Mlycd	malonyl-CoA decarboxylase
1449734_s_at	4.34e-01	8.71e-02	Bbs4	Bardet-Biedl syndrome 4 (human)
1453828_at	4.34e-01	-1.09e-01	4932422M17Rik	RIKEN cDNA 4932422M17 gene
1431564_at	4.34e-01	-2.07e-01	Bcar3	breast cancer anti-estrogen resistance 3
1432826_a_at	4.34e-01	2.28e-01	Cd80	CD80 antigen
1420963_at	4.34e-01	3.60e-01	Hapln2	hyaluronan and proteoglycan link protein 2
1451975_at	4.34e-01	-1.13e-01	Fam220a	family with sequence similarity 220, member A
1444731_at	4.34e-01	-4.60e-01	Pde4b	phosphodiesterase 4B, cAMP specific
1451194_at	4.34e-01	6.64e-01	Aldob	aldolase B, fructose-bisphosphate
1448557_at	4.34e-01	-4.53e-01	Fam13c	family with sequence similarity 13, member C
1457905_at	4.34e-01	-4.61e-01		
1418623_at	4.34e-01	-6.76e-02	Rab2a	RAB2A, member RAS oncogene family
1448186_at	4.34e-01	7.11e-01	Pnliprp2	pancreatic lipase-related protein 2
1458746_at	4.34e-01	-6.01e-01		
1441563_at	4.34e-01	1.22e-01	Cep57l1	centrosomal protein 57-like 1
1434877_at	4.35e-01	-6.20e-01	Nptx1	neuronal pentraxin 1
1427204_at	4.35e-01	6.14e-01	Rd3	retinal degeneration 3
1448539_a_at	4.35e-01	6.23e-01	Acy3	aspartoacylase (aminoacylase) 3
1420791_x_at	4.35e-01	-4.67e-01	Speer4f1	spermatogenesis associated glutamate (E)-rich protein 4F1
1448147_at	4.35e-01	-5.69e-01	Tnfrsf19	tumor necrosis factor receptor superfamily, member 19
1448569_at	4.35e-01	-5.80e-02	Mlec	malectin
1427581_at	4.35e-01	5.55e-01	Hic2	hypermethylated in cancer 2
1455188_at	4.35e-01	-4.43e-01	Ephb1	Eph receptor B1
1416511_a_at	4.35e-01	1.53e-01	Cdc42ep4	CDC42 effector protein (Rho GTPase binding) 4
1438224_at	4.35e-01	2.82e-01	Zswim5	zinc finger SWIM-type containing 5
1419729_at	4.35e-01	7.92e-01	Tex11	testis expressed gene 11
1421359_at	4.35e-01	-4.25e-01	Ret	ret proto-oncogene
1417394_at	4.35e-01	-6.00e-01	Klf4	Kruppel-like factor 4 (gut)
1418710_at	4.35e-01	-1.17e-01	Cd59a	CD59a antigen
1453537_a_at	4.35e-01	-2.57e-01	Wdr17	WD repeat domain 17
1425941_a_at	4.35e-01	-7.28e-01	Fanci	Fanconi anemia, complementation group I
1440258_at	4.35e-01	2.51e-01	Kcnq2	potassium voltage-gated channel, subfamily Q, member 2
1417898_a_at	4.35e-01	6.23e-01	Gzma	granzyme A
1427994_at	4.35e-01	-6.85e-02	Cd300lf	CD300 molecule like family member F
1451552_at	4.35e-01	1.47e-01	Lipt1	lipoyltransferase 1
1439979_at	4.35e-01	-1.06e-01	Zfp398	zinc finger protein 398
1429340_at	4.35e-01	-5.51e-01	Hrasls5	HRAS-like suppressor family, member 5
1454139_at	4.35e-01	4.84e-01	4930405N21Rik	RIKEN cDNA 4930405N21 gene
1420333_at	4.35e-01	-5.95e-01	Txndc8	thioredoxin domain containing 8
1459296_at	4.35e-01	-1.27e-01	Ube2z	ubiquitin-conjugating enzyme E2Z
1421539_at	4.35e-01	7.15e-01	Zic4	zinc finger protein of the cerebellum 4
1416975_at	4.35e-01	-1.07e-01	Stam2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
1430748_at	4.35e-01	5.23e-01	Saysd1	SAYSVFN motif domain containing 1
1417685_at	4.35e-01	4.50e-02	Ankfy1	ankyrin repeat and FYVE domain containing 1
1447208_at	4.35e-01	-2.43e-01		
1424492_at	4.35e-01	-1.00e-01	Xndc1///Trpc2	Xrcc1 N-terminal domain containing 1///transient receptor potential cation channel, subfamily C, member 2
1443033_at	4.35e-01	9.63e-02	Gm21992///Rbm4	predicted gene 21992///RNA binding motif protein 4
1421925_at	4.35e-01	-4.57e-01	Mapk11	mitogen-activated protein kinase 11
1425571_at	4.35e-01	6.12e-01	Slamf1	signaling lymphocytic activation molecule family member 1
1437050_s_at	4.35e-01	-4.56e-02	Angel2	angel homolog 2 (Drosophila)
1425426_a_at	4.36e-01	-1.01e-01	Mef2a	myocyte enhancer factor 2A
1441564_at	4.36e-01	-8.44e-01		
1450557_at	4.36e-01	4.59e-01	Scn4a	sodium channel, voltage-gated, type IV, alpha
1428010_at	4.36e-01	-1.01e-01	Timm9	translocase of inner mitochondrial membrane 9
1457371_at	4.36e-01	1.44e-01	Mff	mitochondrial fission factor
1418053_at	4.36e-01	-1.59e-01	Sncb	synuclein, beta
1444492_at	4.36e-01	-6.71e-01	Ptprd	protein tyrosine phosphatase, receptor type, D
1437800_at	4.36e-01	-1.41e-01	Edaradd	EDAR (ectodysplasin-A receptor)-associated death domain
1450946_at	4.36e-01	-5.22e-01	Nrl	neural retina leucine zipper gene
1457862_at	4.36e-01	-8.41e-01		
1435802_at	4.36e-01	-1.70e-01	Zbtb45	zinc finger and BTB domain containing 45
1453728_a_at	4.36e-01	-4.39e-02	Mrps17	mitochondrial ribosomal protein S17
1448326_a_at	4.36e-01	-5.01e-01	Crabp1	cellular retinoic acid binding protein I
1460463_at	4.36e-01	-6.93e-02	H60c	histocompatibility 60c
1456445_at	4.36e-01	1.95e-01	4930563D23Rik	RIKEN cDNA 4930563D23 gene
1433597_at	4.36e-01	5.11e-02	Arglu1	arginine and glutamate rich 1
1441844_at	4.36e-01	-1.14e-01		
1421764_at	4.36e-01	6.68e-01	Vmn1r172	vomeronasal 1 receptor 172
1419699_at	4.36e-01	6.24e-01	Scgb3a1	secretoglobin, family 3A, member 1
1418834_at	4.36e-01	8.85e-02	Bloc1s4	biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino
1419018_at	4.36e-01	-1.65e-01	Rhox6	reproductive homeobox 6
1431245_at	4.36e-01	-4.83e-01	1700063H04Rik	RIKEN cDNA 1700063H04 gene
1444724_at	4.36e-01	1.79e-01		
1440066_at	4.36e-01	-8.04e-02		
1426881_at	4.36e-01	-5.92e-02	Ube3c	ubiquitin protein ligase E3C
1444942_at	4.36e-01	-9.10e-02	Helz	helicase with zinc finger domain
1456279_a_at	4.36e-01	5.29e-02	Bcap31	B cell receptor associated protein 31
1442379_at	4.36e-01	-2.63e-01	Fam196b	family with sequence similarity 196, member B
1418477_at	4.36e-01	-1.81e-01	Matn1	matrilin 1, cartilage matrix protein
1455561_at	4.36e-01	-5.50e-01	Cndp1	carnosine dipeptidase 1 (metallopeptidase M20 family)
1418371_at	4.36e-01	7.26e-02	Dynll2	dynein light chain LC8-type 2
1452535_at	4.36e-01	-5.61e-01	Ighm	immunoglobulin heavy constant mu
1417416_at	4.37e-01	1.47e-01	Kcna1	potassium voltage-gated channel, shaker-related subfamily, member 1
1441017_at	4.37e-01	4.05e-01	Zcchc14	zinc finger, CCHC domain containing 14
1419250_a_at	4.37e-01	1.62e-01	Cdk14	cyclin-dependent kinase 14
1443548_at	4.37e-01	4.11e-01	LOC100862268	uncharacterized LOC100862268
1416580_a_at	4.37e-01	-5.79e-02	Stub1	STIP1 homology and U-Box containing protein 1
1454192_at	4.37e-01	1.42e-01	Eqtn	equatorin, sperm acrosome associated
1455807_at	4.37e-01	3.13e-01	Tspyl5	testis-specific protein, Y-encoded-like 5
1438248_at	4.37e-01	-6.11e-01	Pcsk5	proprotein convertase subtilisin/kexin type 5
1420110_s_at	4.37e-01	-4.64e-01	Zfp334	zinc finger protein 334
1436538_at	4.37e-01	-1.86e-01	Ankrd37	ankyrin repeat domain 37
1433229_at	4.37e-01	-3.84e-01	9430031J08Rik	RIKEN cDNA 9430031J08 gene
1438877_at	4.37e-01	5.54e-01	Trpm6	transient receptor potential cation channel, subfamily M, member 6
1432288_at	4.37e-01	-5.25e-01	5830468F06Rik	RIKEN cDNA 5830468F06 gene
1447433_at	4.37e-01	1.70e-01	Wdfy3	WD repeat and FYVE domain containing 3
1432510_at	4.37e-01	-2.70e-01	4930512M02Rik	RIKEN cDNA 4930512M02 gene
1425758_a_at	4.37e-01	5.21e-01	Impg1	interphotoreceptor matrix proteoglycan 1
1432817_x_at	4.37e-01	-4.17e-01	4930413G21Rik	RIKEN cDNA 4930413G21 gene
1446337_at	4.37e-01	-1.32e-01	Htt	huntingtin
1433181_at	4.37e-01	-2.57e-01	Agbl3	ATP/GTP binding protein-like 3
1418909_at	4.37e-01	4.61e-01	Ermap	erythroblast membrane-associated protein
1447345_at	4.37e-01	2.66e-01		
1415693_at	4.37e-01	6.59e-02	Derl1	Der1-like domain family, member 1
1452731_x_at	4.37e-01	-6.13e-01	LOC102638110///LOC100861615///Gm3164///Gm3173///Gm3739///Gm3696///Gm3667///Gm3194///Gm3558///Gm3488///Gm3500///Gm10409///Gm3383///Gm3264///Gm3252///Gm3239///Gm3636///Gm3115///Gm3095///Gm3002///Gm10340///Gm2897///Gm16525///Gm3373///Gm3317///Gm5796	uncharacterized LOC102638110///alpha takusan-like///predicted gene 3164///predicted gene 3173///predicted gene 3739///predicted gene 3696///predicted gene 3667///predicted gene 3194///predicted gene 3558///predicted gene, 3488///predicted gene 3500///predicted pseudogene 8348///predicted gene 3383///predicted gene 3264///predicted gene 3252///predicted gene 3239///predicted gene 3636///predicted gene 3115///predicted gene 3095///alpha-takusan pseudogene///predicted gene 10340///predicted gene 2897///predicted gene, 16525///predicted gene 3373///predicted gene 3317///predicted gene 5796
1419468_at	4.37e-01	5.90e-01	Clec14a	C-type lectin domain family 14, member a
1459795_at	4.37e-01	6.50e-01	Gpr85	G protein-coupled receptor 85
1436121_a_at	4.37e-01	5.53e-02	Nsmce1	NSE1 homolog, SMC5-SMC6 complex component
1446051_at	4.37e-01	1.05	Gm14692///Gm1140	predicted gene 14692///predicted gene 1140
1440497_at	4.38e-01	-5.31e-01	Cmtr1	cap methyltransferase 1
1424039_at	4.38e-01	-5.35e-02	Saraf	store-operated calcium entry-associated regulatory factor
1429021_at	4.38e-01	3.01e-01	Epha4	Eph receptor A4
1460667_at	4.38e-01	4.86e-01	U90926	cDNA sequence U90926
1442324_at	4.38e-01	1.12e-01		
1430985_at	4.38e-01	-6.13e-02	Tmem256	transmembrane protein 256
1452141_a_at	4.38e-01	-4.36e-02	Sepp1	selenoprotein P, plasma, 1
1439825_at	4.38e-01	-1.13e-01	Dtx3l	deltex 3-like, E3 ubiquitin ligase
1454324_at	4.38e-01	4.07e-01	4930487N04Rik	RIKEN cDNA 4930487N04 gene
1456833_at	4.38e-01	-6.19e-01	Gpr17	G protein-coupled receptor 17
1450465_at	4.38e-01	4.89e-01	Cdk5r2	cyclin-dependent kinase 5, regulatory subunit 2 (p39)
1432460_at	4.38e-01	-2.35e-01	Pldi	polymorphic derived intron containing
1456033_at	4.38e-01	5.68e-01	Tbx4	T-box 4
1433376_at	4.38e-01	1.82e-01	5830445D09Rik	RIKEN cDNA 5830445D09 gene
1427435_at	4.38e-01	-1.81e-01		
1416966_at	4.38e-01	-3.47e-01	Slc22a8	solute carrier family 22 (organic anion transporter), member 8
1428726_at	4.38e-01	-8.51e-02	Thumpd2	THUMP domain containing 2
1451257_at	4.38e-01	-3.54e-01	Acsl6	acyl-CoA synthetase long-chain family member 6
1457688_at	4.38e-01	-1.44e-01	Zfp398	zinc finger protein 398
1448766_at	4.38e-01	-6.10e-01	Gjb1	gap junction protein, beta 1
1453615_at	4.38e-01	3.85e-01		
1434677_at	4.38e-01	-9.99e-02	Hps5	Hermansky-Pudlak syndrome 5
